platform,source_event_id,source_market_id,source_selection_id,player_name,team,sport,stat_type,prop_category,line,over_american_odds,under_american_odds,game_id,game_start_time,status,pulled_at,model_status,resolved_stat_key,season_avg,recent_form,games_played,games_remaining,model_mean,model_sigma,prob_over,prob_under,implied_prob_over,implied_prob_under,implied_prob_includes_field_vig,edge_over,edge_under
draftkings,34118096,334626682,0QA334626682#2151983362_13L88808Q1-719270113Q20,Darnell Mooney,,NFL,2+ TDs,player_touchdown,,5000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2267143896_13L88808Q1873782388Q20,Emari Demercado,,NFL,2+ TDs,player_touchdown,,5000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983787_13L88808Q1-1527594435Q20,,NY Giants D/ST,NFL,2+ TDs,player_touchdown,,5500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983423_13L88808Q1-832934344Q20,Theo Johnson,,NFL,2+ TDs,player_touchdown,,6000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983798_14L88808Q1-1475853836Q20,,DAL Cowboys D/ST,NFL,2+ TDs,player_touchdown,,6000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983700_13L88808Q11269559575Q20,Dak Prescott,,NFL,2+ TDs,player_touchdown,,7500.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2241747422_13L88808Q1602108132Q20,Odell Beckham Jr.,,NFL,2+ TDs,player_touchdown,,9000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983748_13L88808Q1-580496719Q20,KaVontae Turpin,,NFL,2+ TDs,player_touchdown,,9000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2241747428_13L88808Q11700281896Q20,Hunter Luepke,,NFL,2+ TDs,player_touchdown,,12000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983326_13L88808Q11581906537Q20,Devin Singletary,,NFL,2+ TDs,player_touchdown,,13000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2241747430_13L88808Q1484839941Q20,Brevyn Spann-Ford,,NFL,2+ TDs,player_touchdown,,14000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2151983765_13L88808Q1-913882725Q20,Luke Schoonmaker,,NFL,2+ TDs,player_touchdown,,14000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2266286411_13L88808Q11846672245Q20,Camden Brown,,NFL,2+ TDs,player_touchdown,,15000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2241747423_13L88808Q1-1510473392Q20,Braxton Berrios,,NFL,2+ TDs,player_touchdown,,17000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2282897416_13L88808Q1-54003159Q20,Israel Abanikanda,,NFL,2+ TDs,player_touchdown,,18000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
draftkings,34118096,334626682,0QA334626682#2241747425_13L88808Q1838912948Q20,Dalen Cambre,,NFL,2+ TDs,player_touchdown,,19000.0,,34118096,2026-09-14T00:20:00.0000000Z,,2026-09-13T20:57:45.342566+00:00,no_player_match,,,,,,,,,,,,,,
