flag_id,track,flagged_side,first_flagged_at,first_flagged_model_prob,first_flagged_market_price,first_flagged_edge,consensus_available,consensus_label,consensus_price,consensus_edge,last_seen_at,last_seen_market_price,status,closing_market_price,closing_pulled_at,price_moved,clv_edge_at_close,series_ticker,city_label,station_id,target_date,strike_type,floor_strike,cap_strike,forecast_kind,forecast_value_f,lead_days,model_sigma_f,sigma_source
KXLOWTAUS-26SEP07-B72.5,weather,no,2026-09-09T17:35:00Z,0.9044,0.705,0.1994,False,,,,2026-09-09T17:35:00Z,0.705,open,,,,,KXLOWTAUS,Lowest temperature in Austin,KAUS,2026-09-07,between,72.0,73.0,min,75.0,0,2.23,literature_placeholder
KXHIGHMIA-26SEP07-T93,weather,yes,2026-09-09T17:35:00Z,0.185,0.145,0.04,False,,,,2026-09-09T17:35:00Z,0.145,open,,,,,KXHIGHMIA,Highest temperature in Miami,KMIA,2026-09-07,greater,93.0,,max,91.0,0,2.23,literature_placeholder
KXHIGHMIA-26SEP07-B92.5,weather,no,2026-09-09T17:35:00Z,0.858,0.405,0.453,False,,,,2026-09-09T17:35:00Z,0.405,open,,,,,KXHIGHMIA,Highest temperature in Miami,KMIA,2026-09-07,between,92.0,93.0,max,91.0,0,2.23,literature_placeholder
KXHIGHMIA-26SEP07-B90.5,weather,no,2026-09-09T17:35:00Z,0.827,0.79,0.037,False,,,,2026-09-09T17:35:00Z,0.79,open,,,,,KXHIGHMIA,Highest temperature in Miami,KMIA,2026-09-07,between,90.0,91.0,max,91.0,0,2.23,literature_placeholder
KXHIGHMIA-26SEP07-B88.5,weather,yes,2026-09-09T17:35:00Z,0.0956,0.045,0.0506,False,,,,2026-09-09T17:35:00Z,0.045,open,,,,,KXHIGHMIA,Highest temperature in Miami,KMIA,2026-09-07,between,88.0,89.0,max,91.0,0,2.23,literature_placeholder
KXLOWTDAL-26SEP07-T81,weather,yes,2026-09-09T17:35:00Z,0.327,0.045,0.282,False,,,,2026-09-09T17:35:00Z,0.045,open,,,,,KXLOWTDAL,Lowest temperature Dallas,KDFW,2026-09-07,greater,81.0,,min,80.0,0,2.23,literature_placeholder
KXLOWTDAL-26SEP07-B80.5,weather,no,2026-09-09T17:35:00Z,0.827,0.63,0.197,False,,,,2026-09-09T17:35:00Z,0.63,open,,,,,KXLOWTDAL,Lowest temperature Dallas,KDFW,2026-09-07,between,80.0,81.0,min,80.0,0,2.23,literature_placeholder
KXLOWTDAL-26SEP07-B78.5,weather,no,2026-09-09T17:35:00Z,0.858,0.385,0.473,False,,,,2026-09-09T17:35:00Z,0.385,open,,,,,KXLOWTDAL,Lowest temperature Dallas,KDFW,2026-09-07,between,78.0,79.0,min,80.0,0,2.23,literature_placeholder
KXLOWTDC-26SEP07-T67,weather,yes,2026-09-09T17:35:00Z,0.185,0.005,0.18,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXLOWTDC,Lowest Temperature DC ,KDCA,2026-09-07,greater,67.0,,min,65.0,0,2.23,literature_placeholder
KXLOWTDC-26SEP07-B66.5,weather,yes,2026-09-09T17:35:00Z,0.142,0.005,0.137,False,,,,2026-09-09T17:35:00Z,0.005,open,,,,,KXLOWTDC,Lowest Temperature DC ,KDCA,2026-09-07,between,66.0,67.0,min,65.0,0,2.23,literature_placeholder
